"pctile_round","pct_cat","hhinc","medinc","current","trump","tax_diff","pct_tax_diff","tax_diff_total","inc_round"
1,"[0,1]",0.0515063168124393,0,0,0,0,0,0,0
2,"(1,2]",815.112215909091,640,0,0,0,0,0,1000
3,"(2,3]",3753.83954154728,3739.5,0,0,0,0,0,4000
4,"(3,4]",6448.76911976912,6500,0,0,0,0,0,6000
5,"(4,5]",8289.89107142857,8400,0,0,0,0,0,8000
6,"(5,6]",9192.42684401451,9116,0,0,0,0,0,9000
7,"(7,8]",10178.3853868195,10150.5,1.33438395415473,0,-1.33438395415473,0.000126657348654315,-2416.79146293681,10000
8,"(7,8]",11222.2060518732,11159,34.888242074928,0,-34.888242074928,0.00308000964991408,-63188.4139051792,11000
9,"(8,9]",12240.7291066282,12116,75.6291642651297,0.745452449567723,-74.883711815562,0.00614183050503306,-135626.867263637,12000
10,"(9,10]",13286.5402298851,13259,117.461609195402,32.9539310344828,-84.5076781609196,0.00642242619393637,-153057.472323471,13000
11,"(10,11]",14345.1541786744,14400,159.806167146974,83.7674005763689,-76.0387665706052,0.00536540036060441,-137718.863695789,14000
12,"(11,12]",15208.0938416422,15092.5,194.323753665689,125.188504398827,-69.1352492668622,0.00460786137514232,-125215.444697101,15000
13,"(12,13]",16151.8581560284,16107,232.074326241135,170.489191489362,-61.5851347517731,0.00387283479348243,-111540.930515895,16000
14,"(14,15]",17226.2959770115,17179.5,275.05183908046,222.062206896552,-52.9896321839081,0.00312947880830766,-95973.0445554959,17000
15,"(14,15]",18171.2388489209,18059,312.849553956835,267.419464748201,-45.4300892086331,0.00254549754605137,-82281.4538634289,18000
16,"(15,16]",19239.8215827338,19223,355.860834532374,318.711435971223,-37.1493985611511,0.00196950381187807,-67283.7446945321,19000
17,"(16,17]",20076.4287769784,20001,397.025726618705,358.868581294964,-38.157145323741,0.00193850528170865,-69108.9418314178,20000
18,"(17,18]",20942.5691642651,21000,465.996368876081,400.443319884726,-65.5530489913545,0.00318946882119654,-118727.483703999,21000
19,"(18,19]",22019.8791366906,22000,592.825496402878,452.121530935252,-140.703965467626,0.0065574401169802,-254838.303087151,22000
20,"(19,20]",23042.3843930636,23000,715.52612716763,501.186450867052,-214.339676300578,0.00959138108002114,-388204.832828655,23000
21,"(20,21]",24062.6077586207,24001,837.952931034483,550.157172413793,-287.79575862069,0.012386755612253,-521246.025432387,24000
22,"(21,22]",24972.0905172414,25000,947.090862068966,593.812344827586,-353.278517241379,0.0147028958201678,-639846.201574556,25000
23,"(22,23]",25790.4740634006,25883.5,1045.29688760807,633.094755043228,-412.202132564841,0.0166499007468323,-746566.677368439,26000
24,"(23,24]",26894.0776978417,27000,1177.72932374101,686.067729496403,-491.661594244604,0.0191124388065357,-890480.989316871,27000
25,"(24,25]",27986.7843704776,28000,1308.85412445731,738.517649782923,-570.336474674385,0.0213732220402461,-1032974.29401995,28000
26,"(25,26]",29143.1795977011,29020,1447.62155172414,794.024620689655,-653.596931034483,0.0235923006196738,-1183772.84004921,29000
27,"(26,27]",30006.1786743516,30000,1551.18144092219,836.386755043228,-714.794685878962,0.025120162500981,-1294612.16106962,30000
28,"(28,29]",30746.6657101865,30800,1640.03988522238,924.751885222382,-715.288,0.02457742193248,-1295505.63506004,31000
29,"(28,29]",31845.3806078148,32000,1771.88567293777,1056.59767293777,-715.288,0.0237861156530435,-1295505.63506004,32000
30,"(29,30]",32956.2263610315,33000,1905.18716332378,1189.89916332378,-715.288,0.0230379950884906,-1295505.63506004,33000
31,"(30,31]",34221.1769784173,34103,2056.98123741007,1341.69323741007,-715.288,0.0222407364689992,-1295505.63506004,34000
32,"(31,32]",35102.0561959654,35003,2162.68674351585,1447.39874351585,-715.288,0.0217156934930122,-1295505.63506004,35000
33,"(32,33]",36106.3338129496,36014,2283.20005755396,1567.91205755396,-715.288,0.0211489777087187,-1295505.63506004,36000
34,"(33,34]",37257.009118541,37200,2421.28109422492,1705.99309422492,-715.288,0.0205348066488224,-1295505.63506004,37000
35,"(34,35]",38443.7465753425,38401,2563.6895890411,1848.4015890411,-715.288,0.0199371678126598,-1295505.63506004,38000
36,"(35,36]",39462.9264705882,39479,2691.60948529412,1970.70317647059,-720.906308823529,0.0196049885563375,-1305681.32756486,39000
37,"(36,37]",40236.3288797533,40055,2805.299331963,2063.5114655704,-741.7878663926,0.0198167433609307,-1343501.30427293,40000
38,"(37,38]",41607.2457386364,41654.5,3010.93686079545,2228.02148863636,-782.915372159091,0.0202836027117699,-1417990.06331328,42000
39,"(38,39]",42908.7406340058,43000,3206.16109510086,2384.20087608069,-821.960219020173,0.0207018288731552,-1488706.78039589,43000
40,"(39,40]",44250.225045372,44140,3407.38375680581,2545.17900544465,-862.204751361162,0.0211095773088564,-1561596.32758263,44000
41,"(40,41]",45353.1323003576,45177,3572.81984505364,2677.52787604291,-895.291969010727,0.0214277248884686,-1621522.7864544,45000
42,"(41,42]",46768.6098265896,46812,3785.14147398844,2847.38517919075,-937.756294797688,0.0218156409594387,-1698432.74907929,47000
43,"(42,43]",48181.0129124821,48055,4000.35682926829,3016.86507890961,-983.49175035868,0.022259548425159,-1781267.27223821,48000
44,"(43,44]",49304.6882845188,49239,4205.58077405858,3151.64259414226,-1053.93817991632,0.0233672501702535,-1908857.48270139,49000
