"income","current.single","trump.single","current.married","trump.married","diff.single","diff.married","pctincome.single","pctincome.married"
0,0,0,0,0,0,0,0,0
1000,0,0,0,0,0,0,0,0
2000,0,0,0,0,0,0,0,0
3000,0,0,0,0,0,0,0,0
4000,0,0,0,0,0,0,0,0
5000,0,0,0,0,0,0,0,0
6000,0,0,0,0,0,0,0,0
7000,0,0,0,0,0,0,0,0
8000,0,0,0,0,0,0,0,0
9000,0,0,0,0,0,0,0,0
10000,0,0,0,0,0,0,0,0
11000,65,0,0,0,-65,0,0.00594421582075903,0
12000,165,0,0,0,-165,0,0.0139416983523447,0
13000,265,48,0,0,-217,0,0.0170396544954849,0
14000,365,168,0,0,-197,0,0.0144481114778144,0
15000,465,288,0,0,-177,0,0.0121775025799794,0
16000,565,408,0,0,-157,0,0.0101716877227081,0
17000,665,528,0,0,-137,0,0.0083868992959902,0
18000,765,648,0,0,-117,0,0.00678851174934726,0
19000,865,768,0,0,-97,0,0.00534877309070857,0
20000,981.1,888,0,0,-93.1,0,0.00489513063321223,0
21000,1131.1,1008,30,0,-123.1,-30,0.00619561223822154,0.00143061516452074
22000,1281.1,1127.88,130,0,-153.22,-130,0.00739518024605552,0.00594421582075903
23000,1431.1,1247.88,230,0,-183.22,-230,0.00849463811320929,0.0101010101010101
24000,1581.1,1367.88,330,0,-213.22,-330,0.0095107253255066,0.0139416983523447
25000,1731.1,1487.88,430,0,-243.22,-430,0.0104525783341714,0.0175010175010175
26000,1881.1,1607.88,530,0,-273.22,-530,0.0113280456405557,0.0208087946603848
27000,2031.1,1727.88,630,0,-303.22,-630,0.0121439070203333,0.0238907849829352
28000,2181.1,1847.88,730,0,-333.22,-730,0.0129060494443992,0.0267693436010268
29000,2331.1,1967.88,830,0,-363.22,-830,0.0136196093577163,0.0294639687610934
30000,2481.1,2087.88,930,0,-393.22,-930,0.0142890885900236,0.0319917440660475
31000,2631.1,2207.88,1030,120,-423.22,-910,0.0149184494287759,0.0303636970303637
32000,2781.1,2327.88,1130,240,-453.22,-890,0.0155111930976183,0.028830579850988
33000,2931.1,2447.88,1230,360,-483.22,-870,0.016070424924091,0.0273843248347498
